,workidmain,actualtimemain,warehouse,targetlicenseplateid,multiplesku,createddateandtimemain,closedworkmain,workinprocessmain,workstatusmain,companymain,workordertypemain,useridmain,actualtime,containerid,dimensionnumber,inventoryquantityremaining,inventoryworkquantity,lotid,itemnumber,configid,linenumber,loadid,locatedlicenseplateid,ordernumber,remainingquantity,workquantity,shipmentid,skipped,sortcode,unit,userid,location,workclassid,workid,createddateandtime,closedwork,workinprocess,workstatus,stoptransaction,worktype,zoneid,extrainventoryquantity,weightcaptured,company,modified,modifiedon,worktemplate,workordertype,dateadded,total_cases,CLOSEDWORK_seconds,WORKINPROCESS_seconds,increase_percentage_quantity
447,WOR2412452,102,RETAIL,6316561020488790,0,2022-10-06 06:30:53,2022-10-10 16:06:46,2022-10-10 16:05:04,4,301,2,D365.Batch,26,0.0,#00000001514BDA6C,0,1,LO08779247,N000001144,V8,2,LD0149424,0.0,SON0158611,0,1,SID0151253,0,0,Each,yahaira,X4401A6,SALES,WOR2412452,2022-10-06 06:30:53,2022-10-10 16:05:52,2022-10-10 16:05:26,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-10 16:05:52,Retail Picking,2,2023-02-02 14:08:07.500,1.0,24175422.0,24175396.0,440.6344875863553
325,WOR2115123,868,RETAIL,WOR2115123,0,2022-04-14 15:00:44,2022-04-18 11:26:03,2022-04-18 11:08:03,4,301,2,D365.Batch,61,0.0,#0000000150FD40BB,0,1,LO06304454,N000009676,Base,13,LD0126332,0.0,SON0129915,0,1,SID0127467,0,0,Each,Carolyn,X4401C4,SALES,WOR2115123,2022-04-14 15:00:44,2022-04-18 11:17:07,2022-04-18 11:16:06,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-04-18 11:17:07,Retail Picking,2,2023-02-02 14:08:07.500,1.0,9038097.0,9038036.0,-814.0116587919291
209,WOR1990457,3556,RETAIL,6316561018833880,0,2022-02-09 17:31:07,2022-02-09 19:07:19,2022-02-09 18:02:24,4,301,2,D365.Batch,86,0.0,#0000000150FBFA17,0,1,LO05353646,N000005636,Base,1,LD0117303,0.0,SON0120794,0,1,SID0118097,0,0,Each,Carolyn,F8301D1,SALES,WOR1990457,2022-02-09 17:31:07,2022-02-09 18:06:25,2022-02-09 18:04:59,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-02-09 18:06:25,Retail Picking,2,2023-02-02 14:08:07.500,1.0,3187455.0,3187369.0,2688.4635603075326
226,WOR2005210,48,RETAIL,6316561018897430,0,2022-02-16 21:30:32,2022-02-17 14:04:20,2022-02-17 14:03:32,4,301,2,D365.Batch,7,0.0,#0000000150FBFA17,0,1,LO05483113,N000005636,Base,3,LD0118485,0.0,SON0122161,0,1,SID0119342,0,0,Each,rschwarz,PACK1,SALES,WOR2005210,2022-02-16 21:30:32,2022-02-17 14:04:20,2022-02-17 14:04:13,4,0,2,0,0,0,301,warehouseapp.d365,2022-02-17 14:04:20,Retail Picking,2,2023-02-02 14:08:07.500,1.0,3864130.0,3864123.0,-1130.8140051575908
120,WOR2410628,854,RETAIL,6316561020466320,0,2022-10-05 15:00:41,2022-10-05 16:52:40,2022-10-05 16:38:25,4,301,2,D365.Batch,47,0.0,#00000001514C18D4,0,1,LO08766626,N000013234,Base,3,LD0149266,0.0,SON0158447,0,1,SID0151076,0,0,Each,yahaira,X4401A6,SALES,WOR2410628,2022-10-05 15:00:41,2022-10-05 16:52:28,2022-10-05 16:51:41,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-05 16:52:28,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23746218.0,23746171.0,-593.2713698965799
380,WOR2409607,174,RETAIL,6316561020468640,0,2022-10-05 01:30:16,2022-10-05 19:29:23,2022-10-05 19:26:29,4,301,2,D365.Batch,16,0.0,#00000001514BDA6C,0,1,LO08762778,N000001144,V8,1,LD0149198,0.0,SON0158390,0,1,SID0151022,0,0,Each,yahaira,X4401A6,SALES,WOR2409607,2022-10-05 01:30:16,2022-10-05 19:26:45,2022-10-05 19:26:29,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-05 19:26:45,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23755475.0,23755459.0,-832.0052158381887
152,WOR2517192,994,RETAIL,6316561020797420,0,2022-12-06 17:30:30,2022-12-06 19:43:08,2022-12-06 19:24:19,4,301,2,D365.Batch,58,0.0,#000000015149070F,0,1,LO09489542,N000012990,Base,11,LD0154252,0.0,SON0165908,0,1,SID0156433,0,0,Each,Carolyn,X4401D6,SALES,WOR2517192,2022-12-06 17:30:30,2022-12-06 19:39:37,2022-12-06 19:38:39,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-12-06 19:39:37,Retail Picking,2,2023-02-02 14:08:07.500,1.0,29113047.0,29112989.0,5476.931333643316
78,WOR2480558,218,RETAIL,6316561020685680,0,2022-11-14 21:00:37,2022-11-15 14:39:17,2022-11-15 14:35:15,4,301,2,D365.Batch,67,0.0,#00000001514C1759,0,1,LO09259566,N000010695,V1,3,LD0152726,0.0,SON0163808,0,1,SID0154711,0,0,Each,Carolyn,X4401B8,SALES,WOR2480558,2022-11-14 21:00:37,2022-11-15 14:39:12,2022-11-15 14:38:05,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-11-15 14:39:12,Retail Picking,2,2023-02-02 14:08:07.500,1.0,27280622.0,27280555.0,-322.84503032022116
57,WOR2121420,40,RETAIL,6316561019349670,0,2022-04-19 16:00:18,2022-04-20 11:13:08,2022-04-20 11:12:28,4,301,2,D365.Batch,1,0.0,#0000000150E060CF,0,1,LO06402806,N000009388,Base,2,LD0126839,0.0,SON0130832,0,1,SID0127920,0,0,Each,rschwarz,0,SALES,WOR2121420,2022-04-19 16:00:18,2022-04-20 11:13:02,2022-04-20 11:13:01,4,0,8,0,0,0,301,warehouseapp.d365,2022-04-20 11:13:02,Retail Picking,2,2023-02-02 14:08:07.500,1.0,9210652.0,9210651.0,-1792.2742323946168
432,WOR2409624,211,RETAIL,6316561020467820,0,2022-10-05 03:30:32,2022-10-05 18:22:39,2022-10-05 18:17:00,4,301,2,D365.Batch,85,0.0,#00000001514BDA6C,0,1,LO08762980,N000001144,V8,1,LD0149206,0.0,SON0158407,0,1,SID0151043,0,0,Each,Carolyn,X4401A6,SALES,WOR2409624,2022-10-05 03:30:32,2022-10-05 18:22:30,2022-10-05 18:21:05,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-05 18:22:30,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23751620.0,23751535.0,581.7651463794906
